fecha,año,mes,precipitacion_mm
1957-07-01,1957,7,49.37884245413689
1957-08-01,1957,8,44.65590859593348
1957-09-01,1957,9,56.32660570253741
1957-10-01,1957,10,153.3544097390788
1957-11-01,1957,11,174.23368743681735
1957-12-01,1957,12,157.9899532555865
1958-01-01,1958,1,202.4222122422766
1958-02-01,1958,2,238.28655644789242
1958-03-01,1958,3,310.2080106084295
1958-04-01,1958,4,223.8906813286069
1958-05-01,1958,5,137.68547582115195
1958-06-01,1958,6,58.70297203499136
1958-07-01,1958,7,60.68221814290603
1958-08-01,1958,8,53.960425054062476
1958-09-01,1958,9,77.6263247404488
1958-10-01,1958,10,169.61752673725212
1958-11-01,1958,11,115.75712238047859
1958-12-01,1958,12,184.81197400440385
1959-01-01,1959,1,136.10212155796683
1959-02-01,1959,2,220.08461750762723
1959-03-01,1959,3,297.2547786371917
1959-04-01,1959,4,227.37865868387013
1959-05-01,1959,5,112.12238168821196
1959-06-01,1959,6,75.77280782272923
1959-07-01,1959,7,51.129838640593796
1959-08-01,1959,8,45.71429564020178
1959-09-01,1959,9,60.22592164921096
1959-10-01,1959,10,111.63288844140327
1959-11-01,1959,11,100.66226981047969
1959-12-01,1959,12,196.79742387155818
1960-01-01,1960,1,159.4935429129331
1960-02-01,1960,2,191.76986322647642
1960-03-01,1960,3,192.40602153033055
1960-04-01,1960,4,142.579726786133
1960-05-01,1960,5,102.56805443742076
1960-06-01,1960,6,55.68806520353269
1960-07-01,1960,7,53.075341064683975
1960-08-01,1960,8,57.30223961003562
1960-09-01,1960,9,60.64435626479528
1960-10-01,1960,10,127.8338314081838
1960-11-01,1960,11,110.74578661659301
1960-12-01,1960,12,88.8048227425378
1961-01-01,1961,1,268.98861208049397
1961-02-01,1961,2,189.55980796637155
1961-03-01,1961,3,238.15746594022644
1961-04-01,1961,4,181.1034015251541
1961-05-01,1961,5,98.66529684161777
1961-06-01,1961,6,58.97251573814706
1961-07-01,1961,7,35.15510741676846
1961-08-01,1961,8,33.236589787814744
1961-09-01,1961,9,49.118825591582876
1961-10-01,1961,10,95.922361013577
1961-11-01,1961,11,78.41211131657988
1961-12-01,1961,12,161.47192516102027
1962-01-01,1962,1,175.64641970790439
1962-02-01,1962,2,207.28234731523224
1962-03-01,1962,3,266.2052716601308
1962-04-01,1962,4,137.22620848491508
1962-05-01,1962,5,123.80133158496835
1962-06-01,1962,6,74.0264584519343
1962-07-01,1962,7,50.35959600141246
1962-08-01,1962,8,43.24764081958024
1962-09-01,1962,9,50.89631137928335
1962-10-01,1962,10,109.03052581157029
1962-11-01,1962,11,82.28815699026103
1962-12-01,1962,12,107.02738655457603
1963-01-01,1963,1,170.10563858816298
1963-02-01,1963,2,159.94547603359953
1963-03-01,1963,3,279.6252274969728
1963-04-01,1963,4,136.6940313381437
1963-05-01,1963,5,119.78403929457276
1963-06-01,1963,6,68.19538058023879
1963-07-01,1963,7,43.92670944522301
1963-08-01,1963,8,33.744012928322114
1963-09-01,1963,9,52.090189755794135
1963-10-01,1963,10,97.45770576734468
1963-11-01,1963,11,87.98229330152279
1963-12-01,1963,12,169.23032915020576
1964-01-01,1964,1,151.76328533363576
1964-02-01,1964,2,217.44264029360332
1964-03-01,1964,3,332.8092612868006
1964-04-01,1964,4,237.74949141975063
1964-05-01,1964,5,127.11082094731472
1964-06-01,1964,6,95.50744363508541
1964-07-01,1964,7,77.95697104001414
1964-08-01,1964,8,60.278837040752556
1964-09-01,1964,9,54.0304701964211
1964-10-01,1964,10,87.6316476530406
1964-11-01,1964,11,104.98079514031846
1964-12-01,1964,12,113.10221129675118
1965-01-01,1965,1,144.15386702361627
1965-02-01,1965,2,171.52446616538032
1965-03-01,1965,3,258.30243684773393
1965-04-01,1965,4,251.87084286192447
1965-05-01,1965,5,135.56587374629976
1965-06-01,1965,6,62.82857911674282
1965-07-01,1965,7,66.83504408952231
1965-08-01,1965,8,50.4275035445972
1965-09-01,1965,9,63.67137956425596
1965-10-01,1965,10,110.00953794336836
1965-11-01,1965,11,124.56078832352294
1965-12-01,1965,12,132.79875152074646
1966-01-01,1966,1,161.09710611726356
1966-02-01,1966,2,186.51041320911676
1966-03-01,1966,3,227.41951606119437
1966-04-01,1966,4,173.04612054721935
1966-05-01,1966,5,121.32681229088662
1966-06-01,1966,6,46.45523572304018
1966-07-01,1966,7,52.345769769982454
1966-08-01,1966,8,65.14707290475901
1966-09-01,1966,9,72.87265654453516
1966-10-01,1966,10,128.82628835682348
1966-11-01,1966,11,90.99611435728524
1966-12-01,1966,12,123.31025285668414
1967-01-01,1967,1,188.74725266284278
1967-02-01,1967,2,212.52852499616455
1967-03-01,1967,3,152.72925673553075
1967-04-01,1967,4,177.52208921391744
1967-05-01,1967,5,95.5892968667843
1967-06-01,1967,6,81.268140058052
1967-07-01,1967,7,72.66102481254799
1967-08-01,1967,8,56.18690861878509
1967-09-01,1967,9,60.32585278068236
1967-10-01,1967,10,99.53454649752742
1967-11-01,1967,11,75.85613137143471
1967-12-01,1967,12,89.4049654001354
1968-01-01,1968,1,151.17244799956757
1968-02-01,1968,2,155.20411928793516
1968-03-01,1968,3,155.04299287565908
1968-04-01,1968,4,124.4545876031587
1968-05-01,1968,5,87.49911116709832
1968-06-01,1968,6,67.5691653343219
1968-07-01,1968,7,63.68378476632826
1968-08-01,1968,8,65.57686621623503
1968-09-01,1968,9,111.1260536302519
1968-10-01,1968,10,99.73934828330673
1968-11-01,1968,11,65.2237088152551
1968-12-01,1968,12,110.20267013036063
1969-01-01,1969,1,157.2941655699824
1969-02-01,1969,2,214.20549421647272
1969-03-01,1969,3,223.5961430221966
1969-04-01,1969,4,213.58987794779745
1969-05-01,1969,5,125.58895071278386
1969-06-01,1969,6,87.28290425076226
1969-07-01,1969,7,56.766638985402444
1969-08-01,1969,8,51.69962255497247
1969-09-01,1969,9,71.41805470609918
1969-10-01,1969,10,116.32950539529827
1969-11-01,1969,11,114.98611863680823
1969-12-01,1969,12,156.62996590301347
1970-01-01,1970,1,212.01772987669145
1970-02-01,1970,2,178.9372733200651
1970-03-01,1970,3,181.84670286769634
1970-04-01,1970,4,202.55030639755236
1970-05-01,1970,5,117.2411045145757
1970-06-01,1970,6,77.87647800444789
1970-07-01,1970,7,70.70181257542322
1970-08-01,1970,8,44.803326681858856
1970-09-01,1970,9,82.2945859446682
1970-10-01,1970,10,107.62358889425644
1970-11-01,1970,11,84.87908483262986
1970-12-01,1970,12,148.70998379361387
1971-01-01,1971,1,148.37150823539088
1971-02-01,1971,2,205.72403404557693
1971-03-01,1971,3,397.67370516633923
1971-04-01,1971,4,242.69836358162505
1971-05-01,1971,5,156.60068027449833
1971-06-01,1971,6,118.35772818857305
1971-07-01,1971,7,86.97066007602841
1971-08-01,1971,8,81.51242749421968
1971-09-01,1971,9,76.43506806602251
1971-10-01,1971,10,170.96060483604396
